"id","nume_generate","prenume_generate","genuri","emails_generate","numere_telefon_generate","sucursale_generate","functii_generate","salariu_mediu_values"
302,"MATEI","Sorin","M","Sorin.MATEI@yahoo.com","0725846371","6","20",3301
303,"PIRVU","Mariana","F","Mariana.PIRVU@gmail.com","0769014292","1","74",3921
304,"VOINEA","Gheorghe","M","Gheorghe.VOINEA@yahoo.com","0774747571","2","85",7450
305,"PAUN","Bănel","M","Bănel.PAUN@yahoo.com","0758571487","8","84",8046
306,"TATARU","Florin","M","Florin.TATARU@gmail.com","0788351544","3","3",2432
307,"BALAN","Mona","F","Mona.BALAN@yahoo.com","0782900389","8","80",3883
308,"NECHITA","Nichifor","M","Nichifor.NECHITA@gmail.com","0770955909","8","59",4913
309,"LAZAR","Eufrosina","F","Eufrosina.LAZAR@gmail.com","0775357316","8","3",2353
310,"CHIRITA","Eftimie","M","Eftimie.CHIRITA@gmail.com","0796998098","1","1",2001
311,"BANICA","Marius","M","Marius.BANICA@gmail.com","0773247993","1","63",5664
312,"GEORGESCU","Toma","M","Toma.GEORGESCU@yahoo.com","0716999108","7","19",2535
313,"COSTIN","Dorina","F","Dorina.COSTIN@yahoo.com","0786788388","8","31",1977
314,"ROSU","Fausta","F","Fausta.ROSU@yahoo.com","0773370262","3","4",2073
315,"SZILAGYI","Sergiu","M","Sergiu.SZILAGYI@yahoo.com","0783998404","6","76",5690
316,"MIHAI","Grațiela","F","Grațiela.MIHAI@gmail.com","0721632017","1","14",2391
317,"POP","Nicușor","M","Nicușor.POP@yahoo.com","0709229588","5","16",2770
318,"MANOLACHE","Zaraza","F","Zaraza.MANOLACHE@yahoo.com","0785483885","1","94",9331
319,"BANICA","Laurenția","F","Laurenția.BANICA@gmail.com","0703124930","1","55",5056
320,"ALDEA","Andrian","M","Andrian.ALDEA@yahoo.com","0769239982","5","5",2205
321,"CHIRIAC","Raluca","F","Raluca.CHIRIAC@yahoo.com","0739518523","3","81",5624
322,"DAN","Lioara","F","Lioara.DAN@yahoo.com","0788452451","7","59",5538
323,"COJOCARU","Florentin","M","Florentin.COJOCARU@yahoo.com","0747499484","3","23",3514
324,"CHIRILA","Valentin","M","Valentin.CHIRILA@yahoo.com","0724362497","7","12",2593
325,"FILIP","Henrieta","F","Henrieta.FILIP@yahoo.com","0714617120","6","36",2253
326,"MANEA","Adriana","F","Adriana.MANEA@gmail.com","0773606824","8","61",4978
327,"BADEA","Zamfir","M","Zamfir.BADEA@yahoo.com","0748233901","3","29",1998
328,"PAUN","Casiana","F","Casiana.PAUN@yahoo.com","0714647624","5","39",3130
329,"CORNEA","Nechifor","M","Nechifor.CORNEA@yahoo.com","0766691777","3","10",2761
330,"SERBAN","Alida","F","Alida.SERBAN@yahoo.com","0734078087","7","89",7778
331,"OLARU","Octavian","M","Octavian.OLARU@yahoo.com","0788131409","7","72",5383
332,"SABAU","Marin","M","Marin.SABAU@yahoo.com","0753256158","5","46",6974
333,"DIACONU","Evdochia","F","Evdochia.DIACONU@gmail.com","0782674586","2","86",6482
334,"BOGDAN","Ionela","F","Ionela.BOGDAN@yahoo.com","0746666403","5","60",4476
335,"BUDA","Martina","F","Martina.BUDA@yahoo.com","0769676351","2","37",2738
336,"ILIESCU","Stela","F","Stela.ILIESCU@yahoo.com","0728369923","5","53",6078
337,"STAN","Petrică","M","Petrică.STAN@gmail.com","0791348991","2","86",6365
338,"MORARU","Abel","M","Abel.MORARU@yahoo.com","0778282053","2","4",2074
339,"PARASCHIV","Coralia","F","Coralia.PARASCHIV@yahoo.com","0742272527","1","67",6031
340,"DANILA","Răducu","M","Răducu.DANILA@yahoo.com","0737422213","1","17",2896
341,"TRIFAN","Camil","M","Camil.TRIFAN@yahoo.com","0712313035","2","59",4944
342,"GROSU","Aurelia","F","Aurelia.GROSU@yahoo.com","0790156476","8","76",5595
343,"DIACONESCU","Eustațiu","M","Eustațiu.DIACONESCU@yahoo.com","0791437545","2","26",3499
344,"MOISE","Claudiu","M","Claudiu.MOISE@yahoo.com","0722502587","3","80",3841
345,"GABOR","Aurelian","M","Aurelian.GABOR@yahoo.com","0790513963","4","56",5062
346,"SZEKELY","Adi","M","Adi.SZEKELY@yahoo.com","0750690611","1","11",2490
347,"DUMITRIU","Dan","M","Dan.DUMITRIU@yahoo.com","0719793199","6","83",6353
348,"POP","Alexandra","F","Alexandra.POP@yahoo.com","0756959738","2","47",7518
349,"BOBOC","Albert","M","Albert.BOBOC@yahoo.com","0739928740","6","6",2173
350,"MUSAT","Cristea","M","Cristea.MUSAT@yahoo.com","0785058254","1","32",2325
351,"VOINEA","Monalisa","F","Monalisa.VOINEA@yahoo.com","0720625195","4","80",3888
352,"ION","Mitrofan","M","Mitrofan.ION@yahoo.com","0741912728","7","81",6571
353,"ILIE","Amza","M","Amza.ILIE@yahoo.com","0790237874","1","87",5777
354,"BUDA","Relu","M","Relu.BUDA@yahoo.com","0776391338","5","93",7034
355,"SIMION","Marinel","M","Marinel.SIMION@yahoo.com","0773535089","3","95",9527
356,"CRISTESCU","Paulina","F","Paulina.CRISTESCU@gmail.com","0738810325","1","1",1988
357,"TURCU","Dorian","M","Dorian.TURCU@yahoo.com","0735057298","7","69",3674
358,"ALEXE","Mihnea","M","Mihnea.ALEXE@gmail.com","0731333884","3","62",5257
359,"MORAR","Andreea","F","Andreea.MORAR@yahoo.com","0782168741","1","91",10371
360,"DINU","Emilian","M","Emilian.DINU@gmail.com","0730035783","8","54",3060
361,"DUMITRU","Costache","M","Costache.DUMITRU@gmail.com","0760479846","6","74",3916
362,"CAZACU","Vicențiu","M","Vicențiu.CAZACU@yahoo.com","0777613650","8","26",3528
363,"VASILIU","Iris","F","Iris.VASILIU@gmail.com","0744570398","6","12",2773
364,"SERBAN","Eustațiu","M","Eustațiu.SERBAN@gmail.com","0746878906","4","60",4665
365,"IONITA","Anișoara","F","Anișoara.IONITA@gmail.com","0783279258","1","86",6295
366,"ALEXANDRU","Ecaterina","F","Ecaterina.ALEXANDRU@yahoo.com","0728134101","2","38",3037
367,"ICHIM","Eva","F","Eva.ICHIM@yahoo.com","0755484006","1","30",1993
368,"DUTA","Dimitrie","M","Dimitrie.DUTA@gmail.com","0771604546","1","54",3122
369,"BIRO","Codrin","M","Codrin.BIRO@yahoo.com","0715157400","4","94",9331
370,"MILEA","Bebe","M","Bebe.MILEA@gmail.com","0780223010","2","88",6065
371,"CAZACU","Petria","F","Petria.CAZACU@yahoo.com","0788848445","2","17",2828
372,"VISAN","Cristobal","M","Cristobal.VISAN@yahoo.com","0773805025","1","27",2222
373,"MARGINEAN","Anabela","F","Anabela.MARGINEAN@yahoo.com","0715975610","1","12",2477
374,"UNGUREANU","Luca","M","Luca.UNGUREANU@yahoo.com","0799796195","1","38",2944
375,"MANEA","Titus","M","Titus.MANEA@yahoo.com","0761292959","1","24",2663
376,"MUSAT","Roberta","F","Roberta.MUSAT@yahoo.com","0701625502","3","28",2755
377,"SARBU","Izaura","F","Izaura.SARBU@yahoo.com","0794246088","8","17",2843
378,"ALDEA","Astrid","F","Astrid.ALDEA@yahoo.com","0740077454","5","32",2332
379,"BOTA","Viorela","F","Viorela.BOTA@yahoo.com","0703049689","5","34",1998
380,"STEFANESCU","Mona","F","Mona.STEFANESCU@gmail.com","0705284847","8","58",4732
381,"CRETU","Octavia","F","Octavia.CRETU@yahoo.com","0711867795","5","41",4590
382,"CRISTESCU","Marina","F","Marina.CRISTESCU@gmail.com","0791946510","6","84",9168
383,"VASILIU","Maxim","M","Maxim.VASILIU@yahoo.com","0740931900","1","27",2252
384,"MIU","Marcu","M","Marcu.MIU@yahoo.com","0748770061","2","28",2733
385,"TAMAS","Iulian","M","Iulian.TAMAS@yahoo.com","0704938993","8","4",2091
386,"FRATILA","Anamaria","F","Anamaria.FRATILA@yahoo.com","0721577860","6","33",2213
387,"GHERMAN","Mitrofan","M","Mitrofan.GHERMAN@yahoo.com","0783781148","1","82",7982
388,"BUCUR","Dimitrie","M","Dimitrie.BUCUR@yahoo.com","0716177112","1","15",2169
389,"STOICA","Todor","M","Todor.STOICA@yahoo.com","0721590392","1","42",2752
390,"ANTAL","Margareta","F","Margareta.ANTAL@yahoo.com","0715003513","1","44",6177
391,"ROSU","Gina","F","Gina.ROSU@yahoo.com","0784365383","7","40",5350
392,"NEDELCU","Romeo","M","Romeo.NEDELCU@yahoo.com","0752914701","7","21",3161
393,"MANEA","Teodora","F","Teodora.MANEA@yahoo.com","0794600629","1","67",6031
394,"BLAGA","Lucreția","F","Lucreția.BLAGA@yahoo.com","0700666488","7","79",4752
395,"COSTACHE","Mădălin","M","Mădălin.COSTACHE@yahoo.com","0732437302","3","94",9331
396,"CRETU","Valentin","M","Valentin.CRETU@yahoo.com","0733676376","5","34",1990
397,"ALEXA","Olimpia","F","Olimpia.ALEXA@gmail.com","0714418958","4","8",2121
398,"GAL","Alberta","F","Alberta.GAL@yahoo.com","0779239512","1","73",3732
399,"MANOLACHE","Ionel","M","Ionel.MANOLACHE@gmail.com","0716756004","7","95",9407
400,"MUNTEAN","Sodica","F","Sodica.MUNTEAN@yahoo.com","0759802808","6","38",2793
401,"MATEESCU","Bianca","F","Bianca.MATEESCU@gmail.com","0736498015","4","42",2837
402,"NECHITA","Ica","F","Ica.NECHITA@yahoo.com","0710537794","6","33",2213
403,"MARGINEAN","Cristobal","M","Cristobal.MARGINEAN@yahoo.com","0732550437","7","89",8415
404,"TAMAS","Ioniță","M","Ioniță.TAMAS@gmail.com","0715908940","1","30",2000
405,"CORNEA","Nicoară","M","Nicoară.CORNEA@gmail.com","0750561163","7","76",5665
406,"DIACONESCU","Ileana","F","Ileana.DIACONESCU@yahoo.com","0728312457","2","68",3104
407,"NECHITA","Anda","F","Anda.NECHITA@yahoo.com","0777101901","6","25",3343
408,"SABAU","Aida","F","Aida.SABAU@gmail.com","0706172686","8","67",6031
409,"STANCIU","Corneliu","M","Corneliu.STANCIU@yahoo.com","0700507739","8","3",2315
410,"CAZACU","Agripina","F","Agripina.CAZACU@gmail.com","0701592327","7","29",2016
411,"MARTIN","Ludmila","F","Ludmila.MARTIN@yahoo.com","0702459330","8","12",2588
412,"STAN","Bogdan","M","Bogdan.STAN@gmail.com","0750169604","4","70",4089
413,"MANOLE","Norica","F","Norica.MANOLE@gmail.com","0790773422","4","51",5242
414,"URSU","Consuela","F","Consuela.URSU@yahoo.com","0724071480","6","67",6031
415,"ISPAS","Niculiță","M","Niculiță.ISPAS@yahoo.com","0707230042","1","92",9861
416,"SIMIONESCU","Teofil","M","Teofil.SIMIONESCU@yahoo.com","0765764259","4","11",2502
417,"BOTEZATU","Otilia","F","Otilia.BOTEZATU@yahoo.com","0786821607","8","29",2008
418,"MAFTEI","Sanda","F","Sanda.MAFTEI@yahoo.com","0788925810","1","93",7156
419,"SUCIU","Casandra","F","Casandra.SUCIU@yahoo.com","0744041437","5","65",5883
420,"COMAN","Aurora","F","Aurora.COMAN@yahoo.com","0721401783","6","22",3212
421,"OANCEA","Jenel","M","Jenel.OANCEA@yahoo.com","0762637274","1","10",2728
422,"VERES","Angelica","F","Angelica.VERES@gmail.com","0757113057","6","38",2789
423,"CONSTANTINESCU","Ladislau","M","Ladislau.CONSTANTINESCU@gmail.com","0749290945","2","56",5011
424,"OLTEAN","Pamfil","M","Pamfil.OLTEAN@yahoo.com","0723502633","7","61",4978
425,"DOGARU","Monica","F","Monica.DOGARU@yahoo.com","0718386873","1","42",2871
426,"VARGA","Aureliana","F","Aureliana.VARGA@yahoo.com","0722145121","3","67",6031
427,"TUDOSE","Estera","F","Estera.TUDOSE@gmail.com","0781699124","4","35",3172
428,"MARIAN","Teodosia","F","Teodosia.MARIAN@yahoo.com","0769565413","1","52",3701
429,"COSTACHE","Ivona","F","Ivona.COSTACHE@yahoo.com","0788129035","7","54",3384
430,"DUMITRIU","Constanța","F","Constanța.DUMITRIU@gmail.com","0767303150","1","43",4765
431,"DAMIAN","Fausta","F","Fausta.DAMIAN@yahoo.com","0742825034","8","41",4209
432,"MIHAI","Ghenadie","M","Ghenadie.MIHAI@yahoo.com","0792220984","6","68",3104
433,"LUCA","Sinică","M","Sinică.LUCA@gmail.com","0739202148","4","53",6050
434,"MARGINEAN","Otilia","F","Otilia.MARGINEAN@yahoo.com","0719328407","2","39",3058
435,"DAVID","Gențiana","F","Gențiana.DAVID@yahoo.com","0786109998","1","45",4165
436,"GRIGORAS","Romeo","M","Romeo.GRIGORAS@gmail.com","0715339952","6","16",3048
437,"RUS","Ilarie","M","Ilarie.RUS@gmail.com","0745504529","8","36",2214
438,"OLARIU","Raul","M","Raul.OLARIU@yahoo.com","0778106524","2","59",5559
439,"NEAMTU","Gherasim","M","Gherasim.NEAMTU@yahoo.com","0757009202","2","11",2452
440,"VASILE","Dorin","M","Dorin.VASILE@yahoo.com","0737359734","8","82",7449
441,"IANCU","Petrică","M","Petrică.IANCU@yahoo.com","0797094202","5","2",2582
442,"PAVEL","Natașa","F","Natașa.PAVEL@yahoo.com","0723504003","2","10",2762
443,"COSTACHE","Cezar","M","Cezar.COSTACHE@yahoo.com","0771948345","5","73",3744
444,"DRAGHICI","Iosefina","F","Iosefina.DRAGHICI@yahoo.com","0779019617","1","63",5664
445,"ALEXA","Grațian","M","Grațian.ALEXA@yahoo.com","0747163609","3","67",6031
446,"MIU","Dinu","M","Dinu.MIU@yahoo.com","0784634226","5","85",8072
447,"SIMIONESCU","Ovidiu","M","Ovidiu.SIMIONESCU@yahoo.com","0703456705","6","86",6478
448,"GRIGORESCU","Miranda","F","Miranda.GRIGORESCU@gmail.com","0713128878","1","43",5146
449,"STROE","Selina","F","Selina.STROE@yahoo.com","0722052140","1","88",6065
450,"MARIAN","Carla","F","Carla.MARIAN@gmail.com","0731311940","3","23",3189
451,"PIRVU","Marin","M","Marin.PIRVU@yahoo.com","0704288797","1","65",5832
452,"NISTOR","Venera","F","Venera.NISTOR@yahoo.com","0796567744","5","40",5792
453,"SAVU","Eva","F","Eva.SAVU@gmail.com","0720187700","1","32",2352
454,"GAVRILA","Selina","F","Selina.GAVRILA@yahoo.com","0759057149","2","19",2647
455,"PINTEA","Caius","M","Caius.PINTEA@gmail.com","0753997870","4","49",5255
456,"TUDORACHE","Decebal","M","Decebal.TUDORACHE@yahoo.com","0745056384","7","75",4620
457,"CRISTEA","Marcu","M","Marcu.CRISTEA@yahoo.com","0737342436","1","77",4968
458,"CRISTESCU","Anda","F","Anda.CRISTESCU@gmail.com","0741761895","3","38",2657
459,"PASCU","Filip","M","Filip.PASCU@yahoo.com","0725271727","5","72",6669
460,"MILEA","Panagachie","M","Panagachie.MILEA@gmail.com","0730054232","2","67",6031
461,"ISPAS","Elena","F","Elena.ISPAS@gmail.com","0750783637","3","95",9514
462,"STOICA","Titus","M","Titus.STOICA@yahoo.com","0728144633","3","23",3562
463,"DRAGOI","Reghina","F","Reghina.DRAGOI@yahoo.com","0700691850","5","45",4058
464,"BARBU","Constantin","M","Constantin.BARBU@gmail.com","0795261498","8","84",7935
465,"PAVEL","Matei","M","Matei.PAVEL@yahoo.com","0785840736","5","38",2779
466,"DAVID","Petruț","M","Petruț.DAVID@gmail.com","0702340272","2","56",5112
467,"STAN","Rafael","M","Rafael.STAN@gmail.com","0769721449","3","94",9331
468,"TAMAS","Silvian","M","Silvian.TAMAS@yahoo.com","0747115717","3","69",3610
469,"CRISTEA","Rodica","F","Rodica.CRISTEA@yahoo.com","0760994558","8","79",4629
470,"BALINT","Glorița","F","Glorița.BALINT@yahoo.com","0706989547","1","33",2213
471,"DAVID","Paulina","F","Paulina.DAVID@yahoo.com","0787194151","5","95",9517
472,"BURLACU","Ioanina","F","Ioanina.BURLACU@yahoo.com","0799679819","2","26",3347
473,"DOBRE","Amelia","F","Amelia.DOBRE@yahoo.com","0745717995","7","89",8285
474,"PATRASCU","Livia","F","Livia.PATRASCU@yahoo.com","0796608239","2","45",4229
475,"CORNEA","Carla","F","Carla.CORNEA@gmail.com","0752486720","4","26",3418
476,"SOARE","Grațian","M","Grațian.SOARE@yahoo.com","0758447828","1","85",8351
477,"GABOR","Natașa","F","Natașa.GABOR@yahoo.com","0718230255","8","60",4503
478,"ALEXANDRESCU","Steluța","F","Steluța.ALEXANDRESCU@yahoo.com","0717612919","5","42",2833
479,"MIHAILESCU","Vasile","M","Vasile.MIHAILESCU@yahoo.com","0727793767","2","69",3639
480,"POP","Stelian","M","Stelian.POP@yahoo.com","0718699680","7","86",6418
481,"BARBU","Andreea","F","Andreea.BARBU@yahoo.com","0799348432","3","84",7914
482,"VASILESCU","Benone","M","Benone.VASILESCU@yahoo.com","0743626054","6","37",2823
483,"TRANDAFIR","Teohari","M","Teohari.TRANDAFIR@yahoo.com","0761307134","4","47",7305
484,"TUDORACHE","Sonia","F","Sonia.TUDORACHE@gmail.com","0743014194","6","63",5664
485,"DIACONESCU","Anamaria","F","Anamaria.DIACONESCU@yahoo.com","0784286853","2","56",5080
486,"MIHALACHE","Bogdan","M","Bogdan.MIHALACHE@yahoo.com","0775327568","6","92",9861
487,"MIHAILA","Alexandra","F","Alexandra.MIHAILA@yahoo.com","0752710242","7","95",9345
488,"ENE","Sever","M","Sever.ENE@yahoo.com","0707332198","4","92",9861
489,"GHITA","Măriuca","F","Măriuca.GHITA@yahoo.com","0704242645","6","71",4429
490,"VOICU","Melina","F","Melina.VOICU@yahoo.com","0784191841","8","15",2171
491,"MIHALCEA","Arina","F","Arina.MIHALCEA@yahoo.com","0714053891","4","94",9331
492,"MIHAILA","Augustin","M","Augustin.MIHAILA@yahoo.com","0727471099","1","24",2678
493,"SZILAGYI","Teea","F","Teea.SZILAGYI@yahoo.com","0702554640","3","64",5869
494,"BARBU","Aida","F","Aida.BARBU@yahoo.com","0731214622","4","73",3789
495,"GRIGORESCU","Brăduț","M","Brăduț.GRIGORESCU@yahoo.com","0794009912","2","3",2279
496,"MOCANU","Moise","M","Moise.MOCANU@yahoo.com","0706682886","1","43",5091
497,"PIRVU","Elisabeta","F","Elisabeta.PIRVU@yahoo.com","0715953036","1","77",4964
498,"SAVU","Demetra","F","Demetra.SAVU@yahoo.com","0793533979","8","60",4464
499,"CIOBANU","Măriuca","F","Măriuca.CIOBANU@yahoo.com","0770504480","5","27",2235
500,"RADOI","Ariana","F","Ariana.RADOI@yahoo.com","0784206684","6","4",2070
501,"CROITORU","Giorgian","M","Giorgian.CROITORU@yahoo.com","0713515098","6","22",3147
502,"GRIGORE","Brăduț","M","Brăduț.GRIGORE@yahoo.com","0720935256","6","12",2672
503,"CRACIUN","Ducu","M","Ducu.CRACIUN@yahoo.com","0747984797","8","82",7217
504,"NITA","Cristinel","M","Cristinel.NITA@yahoo.com","0753621594","1","26",3452
505,"IORGA","Zaharia","M","Zaharia.IORGA@yahoo.com","0757713892","2","47",6550
506,"NICULESCU","Anghelina","F","Anghelina.NICULESCU@yahoo.com","0744990294","3","84",7930
507,"IACOB","Leordean","M","Leordean.IACOB@yahoo.com","0789552433","2","94",9331
508,"GROZA","Igor","M","Igor.GROZA@yahoo.com","0718404692","1","35",3172
509,"NISTOR","Andrada","F","Andrada.NISTOR@yahoo.com","0785444064","4","8",2136
510,"PETRESCU","Camelia","F","Camelia.PETRESCU@yahoo.com","0794912804","3","60",4501
511,"COJOCARU","Marioara","F","Marioara.COJOCARU@yahoo.com","0794543119","8","88",6065
512,"MUNTEANU","Brăduț","M","Brăduț.MUNTEANU@yahoo.com","0701251540","8","51",5039
513,"NEAGU","Ianis","M","Ianis.NEAGU@yahoo.com","0770688728","5","17",3012
514,"IGNAT","Marcheta","F","Marcheta.IGNAT@yahoo.com","0716796316","4","82",7795
515,"FILIP","Titus","M","Titus.FILIP@gmail.com","0762249528","5","66",5582
516,"UNGUREANU","Florin","M","Florin.UNGUREANU@yahoo.com","0781359522","1","49",6292
517,"ADAM","Cleopatra","F","Cleopatra.ADAM@yahoo.com","0715746059","2","35",3172
518,"MIRON","Visarion","M","Visarion.MIRON@gmail.com","0714314489","1","85",7358
519,"STOIAN","Petruț","M","Petruț.STOIAN@yahoo.com","0768073762","2","79",4665
520,"VERES","Flora","F","Flora.VERES@gmail.com","0733572580","2","23",3532
521,"PATRASCU","Tamara","F","Tamara.PATRASCU@yahoo.com","0746409308","1","65",5859
522,"MILITARU","Ioniță","M","Ioniță.MILITARU@yahoo.com","0734872119","6","35",3172
523,"NICOLESCU","Marinel","M","Marinel.NICOLESCU@yahoo.com","0782283846","8","62",5367
524,"UNGUREANU","Nicoleta","F","Nicoleta.UNGUREANU@gmail.com","0754393641","3","82",7482
525,"LUPU","Adi","M","Adi.LUPU@gmail.com","0714606724","5","81",6109
526,"MORARU","Florentin","M","Florentin.MORARU@yahoo.com","0722802867","3","31",2011
527,"BARBU","Jan","M","Jan.BARBU@yahoo.com","0785693138","5","46",6630
528,"MUNTEAN","Zaharia","M","Zaharia.MUNTEAN@yahoo.com","0792644625","1","44",7044
529,"URSU","Mia","F","Mia.URSU@yahoo.com","0719957466","3","92",9861
530,"RADU","Ramona","F","Ramona.RADU@yahoo.com","0767736375","8","62",5209
531,"IANCU","Iris","F","Iris.IANCU@gmail.com","0752746425","7","65",5891
532,"ALDEA","Laura","F","Laura.ALDEA@yahoo.com","0705774690","3","8",2118
533,"ALEXE","Edmond","M","Edmond.ALEXE@yahoo.com","0798543587","4","57",5184
534,"RADULESCU","Vicenția","F","Vicenția.RADULESCU@yahoo.com","0747088598","2","71",4497
535,"NEAGU","Antonela","F","Antonela.NEAGU@yahoo.com","0747479764","1","14",2380
536,"PINTEA","Steliana","F","Steliana.PINTEA@yahoo.com","0756598913","1","34",1999
537,"VARGA","Francisc","M","Francisc.VARGA@yahoo.com","0726550358","7","74",3965
538,"PADURARU","Stela","F","Stela.PADURARU@yahoo.com","0742501583","3","90",7930
539,"TRIF","Pompiliu","M","Pompiliu.TRIF@yahoo.com","0773462834","7","20",2942
540,"BACIU","Decebal","M","Decebal.BACIU@yahoo.com","0714927057","2","43",4718
541,"PETCU","Mărioara","F","Mărioara.PETCU@yahoo.com","0720699809","1","36",2248
542,"SIMIONESCU","Valeriu","M","Valeriu.SIMIONESCU@yahoo.com","0761753409","1","11",2508
543,"CIOCAN","Claudiu","M","Claudiu.CIOCAN@yahoo.com","0759546899","7","41",4648
544,"DOBRESCU","Costache","M","Costache.DOBRESCU@yahoo.com","0765278659","5","33",2213
545,"MACOVEI","Teodora","F","Teodora.MACOVEI@yahoo.com","0789516654","2","9",2362
546,"CHIRITA","Bucur","M","Bucur.CHIRITA@yahoo.com","0713630755","8","84",8085
547,"IACOB","Emanuil","M","Emanuil.IACOB@gmail.com","0725555885","2","13",2590
548,"STEFAN","Despina","F","Despina.STEFAN@gmail.com","0770526232","1","11",2411
549,"SZABO","Estera","F","Estera.SZABO@yahoo.com","0741247886","3","11",2458
550,"STANCIU","Gianina","F","Gianina.STANCIU@gmail.com","0774962978","7","70",4043
551,"COVACI","Visarion","M","Visarion.COVACI@gmail.com","0777313235","1","90",7930
552,"UNGUREANU","Irina","F","Irina.UNGUREANU@yahoo.com","0723909313","2","19",2578
553,"DINU","Joița","F","Joița.DINU@yahoo.com","0794717827","1","15",2177
554,"DAMIAN","Cristobal","M","Cristobal.DAMIAN@yahoo.com","0709231688","6","69",3620
555,"DRAGAN","Virgil","M","Virgil.DRAGAN@yahoo.com","0764357594","7","16",2728
556,"DIMA","Cerasela","F","Cerasela.DIMA@yahoo.com","0740523058","3","6",2176
557,"ION","Cornelia","F","Cornelia.ION@yahoo.com","0785818862","1","91",10058
558,"MIHAILA","Robert","M","Robert.MIHAILA@gmail.com","0722298597","3","18",2449
559,"DUMITRASCU","Lenuța","F","Lenuța.DUMITRASCU@yahoo.com","0714347634","4","27",2232
560,"BALAN","Clementina","F","Clementina.BALAN@yahoo.com","0772150416","2","10",2724
561,"DRAGHICI","Iolanda","F","Iolanda.DRAGHICI@yahoo.com","0785469608","3","81",6709
562,"TURCU","Denisa","F","Denisa.TURCU@yahoo.com","0787775776","3","89",8774
563,"MURESAN","David","M","David.MURESAN@yahoo.com","0739339629","1","42",2841
564,"IVASCU","Pulcheria","F","Pulcheria.IVASCU@yahoo.com","0766526284","1","92",9861
565,"MURESAN","Todor","M","Todor.MURESAN@gmail.com","0746215835","1","56",5052
566,"MICU","Janeta","F","Janeta.MICU@gmail.com","0726777753","5","46",5966
567,"DUMITRESCU","Pompiliu","M","Pompiliu.DUMITRESCU@yahoo.com","0761076069","2","36",2219
568,"DRAGOMIR","Romi","M","Romi.DRAGOMIR@yahoo.com","0717037024","8","87",5933
569,"CRISTESCU","Iancu","M","Iancu.CRISTESCU@yahoo.com","0798942403","6","23",3612
570,"NICULESCU","Mitruț","M","Mitruț.NICULESCU@yahoo.com","0744397895","7","26",3788
571,"TAMAS","Olimpian","M","Olimpian.TAMAS@yahoo.com","0725446801","2","22",3199
572,"OANCEA","Narcis","M","Narcis.OANCEA@yahoo.com","0757587594","2","71",4468
573,"VISAN","Dimitrina","F","Dimitrina.VISAN@yahoo.com","0745241620","3","28",2749
574,"ZAHARIA","Octav","M","Octav.ZAHARIA@yahoo.com","0797012267","2","46",5499
575,"MAN","Marius","M","Marius.MAN@yahoo.com","0774332642","1","74",4036
576,"CHIVU","Sandra","F","Sandra.CHIVU@gmail.com","0783034805","2","20",3164
577,"PAVEL","Janina","F","Janina.PAVEL@yahoo.com","0734898743","7","72",5572
578,"SANDU","Matilda","F","Matilda.SANDU@yahoo.com","0713696269","4","71",4469
579,"CONSTANTIN","Celia","F","Celia.CONSTANTIN@yahoo.com","0742281528","1","13",2622
580,"ACHIM","Dominic","M","Dominic.ACHIM@yahoo.com","0717596418","5","9",2331
581,"GRIGORE","Anda","F","Anda.GRIGORE@gmail.com","0769694993","4","31",1985
582,"MARCUS","Safina","F","Safina.MARCUS@yahoo.com","0788926306","1","13",2637
583,"SARBU","Florența","F","Florența.SARBU@yahoo.com","0719356358","4","76",6749
584,"DOBRE","Antoniu","M","Antoniu.DOBRE@yahoo.com","0769606084","6","40",7531
585,"SIMA","Lorelei","F","Lorelei.SIMA@yahoo.com","0723506489","7","22",3229
586,"GRECU","Dimitrie","M","Dimitrie.GRECU@yahoo.com","0794469564","6","55",4753
587,"SZILAGYI","Silviu","M","Silviu.SZILAGYI@gmail.com","0724105564","6","63",5664
588,"ANDREI","Marian","M","Marian.ANDREI@yahoo.com","0786571151","1","50",5483
589,"BACIU","Mirabela","F","Mirabela.BACIU@yahoo.com","0714031559","7","65",5824
590,"MAZILU","Pamfil","M","Pamfil.MAZILU@gmail.com","0750481353","6","56",5075
591,"TEODORESCU","Avram","M","Avram.TEODORESCU@yahoo.com","0775508643","1","21",3231
592,"CRISAN","Lorelei","F","Lorelei.CRISAN@yahoo.com","0731589063","8","13",2599
593,"MILITARU","Mara","F","Mara.MILITARU@yahoo.com","0745582664","1","90",7930
594,"SIMON","Lenuța","F","Lenuța.SIMON@yahoo.com","0784032781","4","69",3651
595,"PINTILIE","Olga","F","Olga.PINTILIE@yahoo.com","0718429913","4","21",3188
596,"CHIVU","Răzvan","M","Răzvan.CHIVU@yahoo.com","0735000424","7","19",2625
597,"BADEA","Ivan","M","Ivan.BADEA@yahoo.com","0754384194","3","26",3888
598,"STEFANESCU","Luciana","F","Luciana.STEFANESCU@gmail.com","0762612943","7","53",6266
599,"GHITA","Eustațiu","M","Eustațiu.GHITA@yahoo.com","0761531723","8","70",3872
600,"ROSCA","Zeno","M","Zeno.ROSCA@yahoo.com","0736209843","2","7",2086
601,"DINU","Petria","F","Petria.DINU@yahoo.com","0726370121","2","54",3505
602,"NECHITA","Margareta","F","Margareta.NECHITA@yahoo.com","0723988193","4","39",3088
603,"ROMAN","Stana","F","Stana.ROMAN@yahoo.com","0779314619","4","22",3210
